sothutu,name,brand,pricenew,sale,priceold,volume
78,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom + Floral Blush,Fragrance Mist Hair And Body #Love Bloom & #Floral Blush,160000,9%,176000,50ml
79,[Mini] Nước Hoa Nam Calvin Klein Defy For Men EDT,Defy For Men Eau de Toilette,380000,0%,380000,10ml
80,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,90000,50%,179000,10ml
81,Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,354000,36%,550000,30ml
82,Nước Hoa Vùng Kín Foellie Cherry Đen Bản Giới Hạn,Inner Perfume #Eau De Noir,160000,54%,350000,5ml
83,"Nước Hoa Nữ Verites Beach Bomb Nhẹ Nhàng, Tươi Mát",,231000,20%,289000,50ml
84,"Nước Hoa Nam Verites De Club Cuốn Hút, Lịch Lãm",,231000,20%,289000,50ml
85,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Love Bloom,Fragrance Mist Hair And Body #Magic Dream & #Love Bloom,184000,7%,198000,50ml
86,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush,Fragrance Mist Hair And Body #Floral Blush,98000,1%,99000,50ml
87,Nước Hoa Unisex Verites Chasing Cloud Tươi Mới,,231000,20%,289000,50ml
88,Nước Hoa Nữ Laura Anne Mystic For Her (Xám),Eau de Parfum,187000,37%,299000,50ml
89,Nước Hoa Nam Laura Anne Dynamic For Him (Xanh),Dynamic For Him,223000,25%,299000,50ml
90,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Desire,Perfume Mist,134000,21%,169000,88ml
91,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Sweetie,Perfume Mist,134000,21%,169000,88ml
92,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Hottie,Perfume Mist,134000,21%,169000,88ml
93,Xịt Thơm Toàn Thân Kiss My Body Sweetie,Perfume Mist,168000,1%,169000,88ml
94,Nước Hoa Nữ Armaf Club De Nuit Woman,Club De Nuit Woman EDP,628000,29%,890000,105ml
95,Xịt Thơm Toàn Thân Kiss My Body Hương Crazy In Love,Perfume Mist,143000,15%,169000,88ml
96,Xịt Thơm Toàn Thân Kiss My Body Sweet Vanilla Cotton,Perfume Mist,143000,15%,169000,88ml
97,Xịt Thơm Toàn Thân Kiss My Body Hương Delight,Perfume Mist,143000,15%,169000,88ml
98,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Floral Blush,Fragrance Mist Hair And Body #Magic Dream & #Floral Blush,184000,7%,198000,50ml
99,Nước Hoa Nữ Narciso Rodriguez Musc Noir For Her EDP,Eau De Parfum,1746000,10%,1940000,30ml
100,Nước Hoa Nữ Chloé Love Story EDP,Eau De Parfum,1685000,29%,2360000,30ml
101,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,1746000,10%,1940000,30ml
102,Nước Hoa Nữ Narciso Rodriguez Ambrée EDP,Eau De Parfum,1674000,15%,1970000,30ml
103,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,1746000,10%,1940000,30ml
104,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,2610000,10%,2900000,50ml
105,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,3447000,10%,3830000,100ml
106,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,2475000,29%,3470000,100ml
107,Nước Hoa Nữ Marc Jacobs Daisy Ever So Fresh EDP,Eau De Parfum,1800000,19%,2220000,30ml
108,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,1690000,35%,2610000,50ml
109,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,3637000,5%,3830000,100ml
110,Nước Hoa Nam Tommy Impact Intense EDP,Impact Intense Eau De Perfume,2250000,0%,2250000,50ml
111,Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,370000,33%,550000,30ml
112,Nước Hoa Nữ Carolina Herrera Very Good Girl Glam EDP,Very Good Girl Glam Eau De Parfum,3933000,10%,4370000,80ml
113,Nước Hoa Nữ Marc Jacobs Daisy Love EDT,Eau De Toilette,1160000,40%,1940000,30ml
114,Nước Hoa Nữ Tommy Now Girl EDT,Now Girl Eau De Toilette,1360000,0%,1360000,30ml
115,Nước Hoa Nam Tommy Now EDT,Now Eau De Toilette,1360000,0%,1360000,30ml
116,Nước Hoa Nữ Carolina Herrera Very Good Girl EDP,Very Good Girl Eau De Parfum,1980000,10%,2200000,30ml
117,Nước Hoa Nam TOMMY Cologne EDT,Cologne Spray,899000,34%,1360000,30ml
118,Nước Hoa Nữ Marc Jacobs Daisy Dream EDT,Eau De Toilette,989000,14%,1150000,30ml
119,Nước Hoa Nữ Issey Miyake L'Eau D'Issey EDT,Eau De Toilette,2034000,10%,2260000,50ml
120,Nước Hoa Nam Issey Miyake L'Eau D'Issey Eau & Cèdre,Pour Homme Eau De Toilette Intense,2583000,10%,2870000,100ml
121,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP,Eau De Parfum,2925000,10%,3250000,90ml
122,Nước Hoa Nam Tommy Impact EDT,Impact Intense Eau De Toilette,2130000,0%,2130000,50ml
123,Nước Hoa Nam Calvin Klein Defy For Men EDT,Eau De Toilette,679000,47%,1290000,30ml
124,Nước Hoa Nữ Laura Anne Dynamic For Her (Xanh),Eau de Parfum,198000,34%,299000,50ml
125,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP Fraiche,Eau De Parfum Fraiche,1521000,10%,1690000,30ml
126,Nước Hoa Nam Nữ Calvin Klein One EDT,Eau De Toilette,813000,45%,1470000,50ml
127,Nước Hoa Nữ Tommy Girl Cologne EDT,Tommy Girl Cologne Eau de Toilette Spray,839000,38%,1360000,30ml
128,Nước Hoa Nữ Marc Jacobs Daisy Love Eau So Sweet EDT,Eau De Toilette,1750000,10%,1940000,30ml
129,"Nước Hoa Nữ Verites Starstruck Ngọt Ngào, Quyến Rũ",,231000,20%,289000,50ml
130,"Nước Hoa Nữ Verites Midnight Bloom Quyến Rũ, Thanh Lịch",,231000,20%,289000,50ml
131,[HSD 02/2025] Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,333000,0%,333000,30ml
132,Nước Hoa Nam Nữ De Memoria EDP #11 Tai O,Eau De Parfum,354000,36%,550000,30ml
133,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,1316000,40%,2189000,50ml
134,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,44000,44%,79000,35ml
135,Nước Hoa Nam Moschino Toy Boy EDP,,2255000,0%,2255000,100ml
136,Nước Hoa Nam Versace Pour Homme Dylan Blue EDT,Pour Homme Dylan Blue Eau De Toilette,1815000,25%,2420000,100ml
137,Nước Hoa Nữ Jean Paul Gaultier Scandal EDP,Scandal Eau De Parfum Spray,1890000,10%,2100000,30ml
138,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,1850000,18%,2250000,30ml
139,Nước Hoa Nữ Burberry Her Blossom EDT,Her Blossom Eau de Toilette,2703000,33%,4030000,100ml
140,[HSD 02/2025] Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,319000,0%,319000,30ml
141,Nước Hoa Nữ Marc Jacobs Perfect EDP,Perfect Eau De Parfum,2589000,37%,4110000,100ml
142,Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,2835000,31%,4130000,100ml
143,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,2932000,32%,4290000,75ml
144,Nước Hoa Nam Lacoste Match Point EDT,Match Point Eau de Toilette,1788000,40%,2970000,100ml
145,Nước Hoa Nữ Signorina Misteriosa,Signorina Misteriosa Eau de Parfum,1820000,22%,2330000,100ml
146,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,44000,44%,79000,35ml
147,[HSD 03/2025] Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,2268000,45%,4130000,100ml
148,Nước Hoa Nam Versace Man Eau Fraiche EDT,Eau Fraiche Eau De Toilette,1862000,19%,2299000,100ml
149,Nước Hoa Nữ Moschino Toy 2 EDP,Toy 2 Eau De Parfum,1540000,37%,2442000,100ml
150,Nước Hoa Nữ Burberry Her EDP,Her Eau De Parfum,2967000,41%,4990000,100ml
151,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,44000,44%,79000,35ml
152,Combo Nước Hoa 2 Đầu Silkygirl Hương 02 Love + 03 Joyful,EDP Duo Rollerball,212000,10%,236000,100ml
153,Nước Hoa Nữ Versace Yellow Diamond EDT,Yellow Diamond Eau De Toilette Natural Spray,1989000,26%,2706000,90ml
154,Nước Hoa Nam Versace Pour Homme Eau De Toilette,Pour Homme Eau De Toilette,1544000,35%,2376000,100ml
155,[HSD 02/2025] Nước Hoa Nữ Laura Anne Dynamic For Her (Xanh),Eau de Parfum,189000,37%,299000,50ml
156,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,44000,44%,79000,35ml
157,[HSD 02/2025] Nước Hoa Nam Nữ De Memoria EDP #09 Lampang,Eau De Parfum,333000,0%,333000,30ml
158,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,44000,44%,79000,35ml
159,Nước Hoa Nữ Marc Jacobs Daisy Intense EDP,Daisy Intense Eau De Parfum,1264000,45%,2290000,30ml
160,Nước Hoa Nam Calvin Klein Euphoria For Men EDT,Euphoria For Men Eau de Toilette,1677000,40%,2780000,100ml
161,Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Sweet Vanilla Cotton,,304000,10%,338000,100ml
162,[HSD 01/2025] Nước Hoa Nữ Marc Jacobs Daisy Intense EDP,Daisy Intense Eau De Parfum,203000,30%,290000,4ml
163,[Mini] Nước Hoa Nữ Burberry Her Blossom EDT 1.,,68000,1%,69000,5ml
164,Nước Hoa Nữ Lancôme La Vie Est Belle Bản Giới Hạn OUI,La Vie Est Belle Oui L'eau De Parfum D'exception,2239000,17%,2700000,50ml
165,Nước Hoa Nữ Chloé Eau De Parfum,,2843000,34%,4290000,75ml
166,Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Happy Sundae,,304000,10%,338000,100ml
167,[HSD 02/2025] Nước Hoa Nữ Laura Anne Mystic For Her (Xám),Eau de Parfum,156000,0%,156000,50ml
168,Nước Hoa Nam Mr.Burberry Indigo EDT,Indigo For Men EDT Spray,1509000,31%,2180000,50ml
169,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,44000,44%,79000,35ml
170,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,44000,44%,79000,35ml
171,Nước Hoa Nam Calvin Klein Free Eau De Toilette,Free EDT Spray,983000,48%,1880000,50ml
172,Nước Hoa Nam Versace Eros EDP,Eros Eau De Parfum Natural Spray,1930000,30%,2761000,100ml
173,Nước Hoa Nữ Versace Bright Crystal EDT,Bright Crystal Eau De Toilette,1488000,46%,2760000,90ml
174,Nước Hoa Nam Gota Bouncy Eau de Parfum,Bouncy Perfume For Men Eau de Parfum,148000,50%,296000,50ml
175,Nước Hoa Nữ Salvatore Ferragamo Signorina Ribelle EDP,,1800000,44%,3223000,100ml
176,Xịt Thơm Toàn Thân Kiss My Body Adore You,Perfume Mist,168000,1%,169000,88ml
177,[HSD 07/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream,Fragrance Mist Hair And Body #Magic Dream,45000,55%,99000,50ml
178,Xịt Nước Hoa Hằng Ngày X-Men Hương Tươi Mát,Everyday Perfume Mann Up Air,99000,6%,105000,50ml
179,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,2610000,10%,2900000,50ml
180,Nước Hoa Nữ Versace Pour Femme Dylan Blue EDP,Pour Femme Dylan Blue Eau De Parfum Spray,2152000,35%,3311000,100ml
181,[HSD 07/2024] Nước Hoa Nữ Trussardi Sound Of Donna EDP,Sound Of Donna Eau De Parfum Spray,726000,70%,2420000,100ml
182,Nước Hoa Vùng Kín Nam Loli & The Wolf Dark Monster,Hương Gỗ Tuyết Tùng Nam Tính Cuốn Hút,248000,17%,300000,10ml
183,Xịt Thơm Toàn Thân Kiss My Body Sweet Poison,Perfume Mist,168000,1%,169000,88ml
184,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,106000,32%,156000,105ml
185,[HSD 12/2024] Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae,Perfume Mist,77000,54%,169000,88ml
186,[HSD 11/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush,Fragrance Mist Hair And Body #Floral Blush,44000,56%,99000,50ml
187,[HSD 01/2025] Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach,Perfume Mist,77000,54%,169000,88ml
188,[HSD 10/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom,Fragrance Mist Hair And Body #Love Bloom,79000,20%,99000,50ml
189,Nước Hoa Nữ Marc Jacobs Daisy EDT,Daisy Eau De Toilette,2249000,37%,3570000,100ml
190,Xịt Thơm Toàn Thân Kiss My Body Hottie,Perfume Mist,168000,1%,169000,88ml
191,Nước hoa Dolce&Gabbana The One Gold Pour Homme EDP Intense,Dolce & Gabbana,4032000,4%,4200000,100ml
192,Nước hoa Dolce&Gabbana K Pour Homme EDP Intense,Dolce & Gabbana,3628000,4%,3780000,100ml
193,Nước hoa Dolce & Gabbana Intenso Pour Homme EDP,Dolce & Gabbana,2736000,4%,2850000,100ml
194,Nước hoa YSL La Nuit de L’Homme EDT,Yves Saint Laurent,4051000,4%,4220000,100ml
195,Narciso Rodriguez Vetiver Musc For Him EDT,Narciso Rodriguez,2593000,5%,2730000,100ml
196,Nước hoa YSL Y Le Parfum EDP,Yves Saint Laurent,5241000,4%,5460000,100ml
197,Nước hoa Mcm Onyx EDP,MCM,2014000,8%,2190000,100ml
198,Nước hoa JPG LE MALE ELIXIR 23 EDP,Jean Paul Gaultier,3667000,5%,3860000,100ml
199,Nước hoa L'HOMME LE PARFUM EDP,Yves Saint Laurent,4617000,4%,4810000,100ml
200,Sữa tắm CALVIN KLEIN DEFY FOR MEN HAIR & BODY WASH,Calvin Klein,460000,8%,500000,100ml
201,Nước hoa Valentino Uomo Born In Roma Coral Fantasy EDT,Valentino,2745000,5%,2890000,100ml
202,Nước hoa Valentino Uomo Born In Roma Yellow Dream EDT,Valentino,2745000,5%,2890000,100ml
203,Nước hoa Valentino Uomo Born In Roma EDT,Valentino,2745000,5%,2890000,100ml
204,Nước hoa Valentino Uomo EDT,Valentino,2745000,5%,2890000,100ml
205,Nước Hoa Azzaro The Most Wanted EDP Intense,Azzaro,2658000,8%,2890000,100ml
206,Nước hoa Giorgio Armani Acqua Di Gio Parfum Vaporisateur Rechargeable Refillable Spray,Giorgio Armani,1851000,5%,1949000,100ml
207,Nước hoa Gucci Guilty Elixir De Parfum Pour Homme,Gucci,4066000,5%,4280000,100ml
208,Nước hoa Hugo Boss Bottled Elixir,Hugo Boss,3413000,8%,3710000,100ml
209,Nước hoa Calvin Klein Defy Parfum,Calvin Klein,3808000,8%,4140000,100ml
210,Nước hoa Hugo Boss Boss Bottled Parfum,Hugo Boss,4075000,8%,4430000,100ml
211,Nước hoa Montblanc Explorer Platinum EDP,Mont Blanc,2802000,5%,2950000,100ml
212,Nước hoa Coach Green EDT,Coach,2208000,8%,2400000,100ml
213,Nước Hoa Giorgio Armani Acqua Di Gio For Men EDT,Giorgio Armani,2896000,5%,3049000,100ml
214,Nước hoa Armani Code For Men EDT,Giorgio Armani,2612000,5%,2750000,100ml
215,Nước hoa Y EDP,Yves Saint Laurent,4406000,4%,4590000,100ml
216,Nước hoa Prada Luna Rossa EDT,Prada,2894000,5%,3047000,100ml
217,Nước Hoa Prada Luna Rossa Ocean EDT,Prada,2894000,5%,3047000,100ml
218,Nước hoa Giorgio Armani Acqua Di Gio EDP,Giorgio Armani,3751000,5%,3949000,100ml
219,Nước hoa Dolce&Gabbana Light Blue Summer Vibes Pour Homme EDT,Dolce & Gabbana,3408000,4%,3550000,100ml
220,Nước hoa Scandal Pour Homme Le Parfum EDP,Jean Paul Gaultier,3534000,5%,3720000,100ml
221,Nước hoa Versace Eros Parfum,Versace,3116000,8%,3388000,100ml
222,Nước hoa Calvin Klein Defy EDP,Calvin Klein,2769000,8%,3010000,100ml
223,Nước hoa Burberry Hero EDP,Burberry,4626000,5%,4870000,100ml
224,Nước hoa Burberry Hero EDP,Burberry,451000,5%,475000,100ml
225,Nước hoa Gucci Guilty Pour Homme Parfum,Gucci,4750000,5%,5000000,100ml
226,Nước hoa Paco Rabanne Fame EDP,Paco Rabanne,3847000,5%,4050000,100ml
227,Nước hoa Yves Saint Laurent Libre L'Absolu Platin EDP,Yves Saint Laurent,5299000,4%,5520000,100ml
228,Nước hoa Calvin Klein My Euphoria EDP,Calvin Klein,3275000,8%,3560000,100ml
229,Nước hoa Paco Rabanne Fame Intense EDP,Paco Rabanne,4560000,5%,4800000,100ml
230,Nước hoa Dolce & Gabbana The Only One EDP Intense,Dolce & Gabbana,5040000,4%,5250000,100ml
231,Nước hoa Dolce&Gabbana The One Gold EDP Intense,Dolce & Gabbana,4656000,4%,4850000,100ml
232,Nước hoa Dolce & Gabbana Q EDP Intense,Dolce & Gabbana,4896000,4%,5100000,100ml
233,Nước hoa L'Eau d'IsseySolar Violet EDTI,Issey Miyake,3078000,5%,3240000,100ml
234,Nước hoa L'Eau d'Issey pour Homme Solar Lavender EDTI,Issey Miyake,1957000,5%,2060000,100ml
235,Giftset YSL Black Opium EDP 4PCS,Yves Saint Laurent,3715000,4%,3870000,100ml
236,Giftset YSL Black Opium EDP 3PCS,Yves Saint Laurent,3897000,4%,4060000,100ml
237,Nước hoa Carolina Herrera Good Girl EDP,Carolina Herrera,1909000,5%,2010000,100ml
238,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,3715000,4%,3870000,100ml
239,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,4848000,4%,5050000,100ml
240,Issey Miyake Ladies A Drop D'issey Essentielle EDP,Issey Miyake,3116000,5%,3280000,100ml
241,Narciso Rodriguez Musc Nude For Her EDP,Narciso Rodriguez,3657000,5%,3850000,100ml
242,Nước hoa Chloé Signature Lumineuse Roses EDP,Chloe,4949000,8%,5380000,100ml
243,Nước hoa Burberry Her Petals Limited Edition,Burberry,4797000,5%,5050000,100ml
244,Giftset Lancôme Miracle EDP 3PCS,Lancôme,2016000,4%,2100000,100ml
245,Giftset Lancôme La Nuit Tresor 3PCS,Lancôme,2688000,4%,2800000,100ml
246,Nước hoa Valentino Donna Born In Roma Intense EDP,Valentino,4493000,5%,4730000,100ml
