,name,brand,pricenew,sale,priceold
147,[HSD 03/2025] Nước Hoa Nữ Chloé L'Eau Eau De Toilette 100ml,L'Eau Eau De Toilette,2.268.000 ₫,45%,4.130.000 ₫
148,Nước Hoa Nam Versace Man Eau Fraiche EDT 100ml,Eau Fraiche Eau De Toilette,1.862.000 ₫,19%,2.299.000 ₫
149,Nước Hoa Nữ Moschino Toy 2 EDP 100ml,Toy 2 Eau De Parfum,1.540.000 ₫,37%,2.442.000 ₫
150,Nước Hoa Nữ Burberry Her EDP 100ml,Her Eau De Parfum,2.967.000 ₫,41%,4.990.000 ₫
151,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Care Free 35ml,,44.000 ₫,44%,79.000 ₫
152,Combo Nước Hoa 2 Đầu Silkygirl Hương 02 Love + 03 Joyful,EDP Duo Rollerball,212.000 ₫,10%,236.000 ₫
153,Nước Hoa Nữ Versace Yellow Diamond EDT 90ml,Yellow Diamond Eau De Toilette Natural Spray,1.989.000 ₫,26%,2.706.000 ₫
154,Nước Hoa Nam Versace Pour Homme Eau De Toilette 100ml,Pour Homme Eau De Toilette,1.544.000 ₫,35%,2.376.000 ₫
155,[HSD 02/2025] Nước Hoa Nữ Laura Anne Dynamic For Her 50ml (Xanh),Eau de Parfum,189.000 ₫,37%,299.000 ₫
156,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love 35ml,,44.000 ₫,44%,79.000 ₫
157,[HSD 02/2025] Nước Hoa Nam Nữ De Memoria EDP #09 Lampang 30ml,Eau De Parfum,333.000 ₫,,
158,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh 35ml,,44.000 ₫,44%,79.000 ₫
159,Nước Hoa Nữ Marc Jacobs Daisy Intense EDP 30ml,Daisy Intense Eau De Parfum,1.264.000 ₫,45%,2.290.000 ₫
160,Nước Hoa Nam Calvin Klein Euphoria For Men EDT 100ml,Euphoria For Men Eau de Toilette,1.677.000 ₫,40%,2.780.000 ₫
161,Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Sweet Vanilla Cotton,,304.000 ₫,10%,338.000 ₫
162,[HSD 01/2025] Nước Hoa Nữ Marc Jacobs Daisy Intense EDP 4ml,Daisy Intense Eau De Parfum,203.000 ₫,30%,290.000 ₫
163,[Mini] Nước Hoa Nữ Burberry Her Blossom EDT 1.5ml,,68.000 ₫,1%,69.000 ₫
164,Nước Hoa Nữ Lancôme La Vie Est Belle Bản Giới Hạn OUI 50ml,La Vie Est Belle Oui L'eau De Parfum D'exception,2.239.000 ₫,17%,2.700.000 ₫
165,Nước Hoa Nữ Chloé Eau De Parfum 75ml,,2.843.000 ₫,34%,4.290.000 ₫
166,Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Happy Sundae,,304.000 ₫,10%,338.000 ₫
167,[HSD 02/2025] Nước Hoa Nữ Laura Anne Mystic For Her 50ml (Xám),Eau de Parfum,156.000 ₫,,
168,Nước Hoa Nam Mr.Burberry Indigo EDT 50ml,Indigo For Men EDT Spray,1.509.000 ₫,31%,2.180.000 ₫
169,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare 35ml,,44.000 ₫,44%,79.000 ₫
170,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh 35ml,,44.000 ₫,44%,79.000 ₫
171,Nước Hoa Nam Calvin Klein Free Eau De Toilette 50ml,Free EDT Spray,983.000 ₫,48%,1.880.000 ₫
172,Nước Hoa Nam Versace Eros EDP 100ml,Eros Eau De Parfum Natural Spray,1.930.000 ₫,30%,2.761.000 ₫
173,Nước Hoa Nữ Versace Bright Crystal EDT 90ml,Bright Crystal Eau De Toilette,1.488.000 ₫,46%,2.760.000 ₫
174,Nước Hoa Nam Gota Bouncy Eau de Parfum 50ml,Bouncy Perfume For Men Eau de Parfum,148.000 ₫,50%,296.000 ₫
175,Nước Hoa Nữ Salvatore Ferragamo Signorina Ribelle EDP 100ml,,1.800.000 ₫,44%,3.223.000 ₫
176,Xịt Thơm Toàn Thân Kiss My Body Adore You 88ml,Perfume Mist,168.000 ₫,1%,169.000 ₫
177,[HSD 07/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream 50ml,Fragrance Mist Hair And Body #Magic Dream,45.000 ₫,55%,99.000 ₫
178,Xịt Nước Hoa Hằng Ngày X-Men Hương Tươi Mát 50ml,Everyday Perfume Mann Up Air,99.000 ₫,6%,105.000 ₫
179,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP 50ml,Eau De Parfum,2.610.000 ₫,10%,2.900.000 ₫
180,Nước Hoa Nữ Versace Pour Femme Dylan Blue EDP 100ml,Pour Femme Dylan Blue Eau De Parfum Spray,2.152.000 ₫,35%,3.311.000 ₫
181,[HSD 07/2024] Nước Hoa Nữ Trussardi Sound Of Donna EDP 100ml,Sound Of Donna Eau De Parfum Spray,726.000 ₫,70%,2.420.000 ₫
182,Nước Hoa Vùng Kín Nam Loli & The Wolf Dark Monster 10ml,Hương Gỗ Tuyết Tùng Nam Tính Cuốn Hút,248.000 ₫,17%,300.000 ₫
183,Xịt Thơm Toàn Thân Kiss My Body Sweet Poison 88ml,Perfume Mist,168.000 ₫,1%,169.000 ₫
184,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love 105ml,,106.000 ₫,32%,156.000 ₫
185,[HSD 12/2024] Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae 88ml,Perfume Mist,77.000 ₫,54%,169.000 ₫
186,[HSD 11/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush 50ml,Fragrance Mist Hair And Body #Floral Blush,44.000 ₫,56%,99.000 ₫
187,[HSD 01/2025] Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach 88ml,Perfume Mist,77.000 ₫,54%,169.000 ₫
188,[HSD 10/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom 50ml,Fragrance Mist Hair And Body #Love Bloom,79.000 ₫,20%,99.000 ₫
189,Nước Hoa Nữ Marc Jacobs Daisy EDT 100ml,Daisy Eau De Toilette,2.249.000 ₫,37%,3.570.000 ₫
190,Xịt Thơm Toàn Thân Kiss My Body Hottie 88ml,Perfume Mist,168.000 ₫,1%,169.000 ₫
