sothutu,Tên_Sản_Phẩm,Thương_Hiệu,Giá_Bán,Giá_Gốc,Dung_Tich,Phần_Trăm_Giảm
103,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,1746000,1940000,30ml,10
104,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,2610000,2900000,50ml,10
105,Nước Hoa Nữ Narciso Rodriguez For Her EDP,Eau De Parfum,3447000,3830000,100ml,10
106,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,2475000,3470000,100ml,29
107,Nước Hoa Nữ Marc Jacobs Daisy Ever So Fresh EDP,Eau De Parfum,1800000,2220000,30ml,19
108,Nước Hoa Nữ Narciso Rodriguez For Her EDT,Eau De Toilette,1690000,2610000,50ml,35
109,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,3637000,3830000,100ml,5
110,Nước Hoa Nam Tommy Impact Intense EDP,Impact Intense Eau De Perfume,2250000,2250000,50ml,0
111,Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,370000,550000,30ml,33
112,Nước Hoa Nữ Carolina Herrera Very Good Girl Glam EDP,Very Good Girl Glam Eau De Parfum,3933000,4370000,80ml,10
113,Nước Hoa Nữ Marc Jacobs Daisy Love EDT,Eau De Toilette,1160000,1940000,30ml,40
114,Nước Hoa Nữ Tommy Now Girl EDT,Now Girl Eau De Toilette,1360000,1360000,30ml,0
115,Nước Hoa Nam Tommy Now EDT,Now Eau De Toilette,1360000,1360000,30ml,0
116,Nước Hoa Nữ Carolina Herrera Very Good Girl EDP,Very Good Girl Eau De Parfum,1980000,2200000,30ml,10
117,Nước Hoa Nam TOMMY Cologne EDT,Cologne Spray,899000,1360000,30ml,34
118,Nước Hoa Nữ Marc Jacobs Daisy Dream EDT,Eau De Toilette,989000,1150000,30ml,14
119,Nước Hoa Nữ Issey Miyake L'Eau D'Issey EDT,Eau De Toilette,2034000,2260000,50ml,10
120,Nước Hoa Nam Issey Miyake L'Eau D'Issey Eau & Cèdre,Pour Homme Eau De Toilette Intense,2583000,2870000,100ml,10
121,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP,Eau De Parfum,2925000,3250000,90ml,10
122,Nước Hoa Nam Tommy Impact EDT,Impact Intense Eau De Toilette,2130000,2130000,50ml,0
123,Nước Hoa Nam Calvin Klein Defy For Men EDT,Eau De Toilette,679000,1290000,30ml,47
124,Nước Hoa Nữ Laura Anne Dynamic For Her (Xanh),Eau de Parfum,198000,299000,50ml,34
125,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP Fraiche,Eau De Parfum Fraiche,1521000,1690000,30ml,10
126,Nước Hoa Nam Nữ Calvin Klein One EDT,Eau De Toilette,813000,1470000,50ml,45
127,Nước Hoa Nữ Tommy Girl Cologne EDT,Tommy Girl Cologne Eau de Toilette Spray,839000,1360000,30ml,38
128,Nước Hoa Nữ Marc Jacobs Daisy Love Eau So Sweet EDT,Eau De Toilette,1750000,1940000,30ml,10
129,"Nước Hoa Nữ Verites Starstruck Ngọt Ngào, Quyến Rũ",,231000,289000,50ml,20
130,"Nước Hoa Nữ Verites Midnight Bloom Quyến Rũ, Thanh Lịch",,231000,289000,50ml,20
131,[HSD 02/2025] Nước Hoa Nam De Memoria EDP #12 Bagan,Eau De Parfum,333000,333000,30ml,0
132,Nước Hoa Nam Nữ De Memoria EDP #11 Tai O,Eau De Parfum,354000,550000,30ml,36
133,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,1316000,2189000,50ml,40
134,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,44000,79000,35ml,44
135,Nước Hoa Nam Moschino Toy Boy EDP,,2255000,2255000,100ml,0
136,Nước Hoa Nam Versace Pour Homme Dylan Blue EDT,Pour Homme Dylan Blue Eau De Toilette,1815000,2420000,100ml,25
137,Nước Hoa Nữ Jean Paul Gaultier Scandal EDP,Scandal Eau De Parfum Spray,1890000,2100000,30ml,10
138,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,1850000,2250000,30ml,18
139,Nước Hoa Nữ Burberry Her Blossom EDT,Her Blossom Eau de Toilette,2703000,4030000,100ml,33
140,[HSD 02/2025] Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,319000,319000,30ml,0
141,Nước Hoa Nữ Marc Jacobs Perfect EDP,Perfect Eau De Parfum,2589000,4110000,100ml,37
142,Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,2835000,4130000,100ml,31
143,Nước Hoa Nữ Chloé Nomade EDP,Eau De Parfum,2932000,4290000,75ml,32
144,Nước Hoa Nam Lacoste Match Point EDT,Match Point Eau de Toilette,1788000,2970000,100ml,40
145,Nước Hoa Nữ Signorina Misteriosa,Signorina Misteriosa Eau de Parfum,1820000,2330000,100ml,22
146,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,44000,79000,35ml,44
147,[HSD 03/2025] Nước Hoa Nữ Chloé L'Eau Eau De Toilette,L'Eau Eau De Toilette,2268000,4130000,100ml,45
148,Nước Hoa Nam Versace Man Eau Fraiche EDT,Eau Fraiche Eau De Toilette,1862000,2299000,100ml,19
149,Nước Hoa Nữ Moschino Toy 2 EDP,Toy 2 Eau De Parfum,1540000,2442000,100ml,37
150,Nước Hoa Nữ Burberry Her EDP,Her Eau De Parfum,2967000,4990000,100ml,41
151,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,44000,79000,35ml,44
152,Combo Nước Hoa 2 Đầu Silkygirl Hương 02 Love + 03 Joyful,EDP Duo Rollerball,212000,236000,100ml,10
153,Nước Hoa Nữ Versace Yellow Diamond EDT,Yellow Diamond Eau De Toilette Natural Spray,1989000,2706000,90ml,26
154,Nước Hoa Nam Versace Pour Homme Eau De Toilette,Pour Homme Eau De Toilette,1544000,2376000,100ml,35
155,[HSD 02/2025] Nước Hoa Nữ Laura Anne Dynamic For Her (Xanh),Eau de Parfum,189000,299000,50ml,37
156,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,44000,79000,35ml,44
157,[HSD 02/2025] Nước Hoa Nam Nữ De Memoria EDP #09 Lampang,Eau De Parfum,333000,333000,30ml,0
158,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,44000,79000,35ml,44
159,Nước Hoa Nữ Marc Jacobs Daisy Intense EDP,Daisy Intense Eau De Parfum,1264000,2290000,30ml,45
160,Nước Hoa Nam Calvin Klein Euphoria For Men EDT,Euphoria For Men Eau de Toilette,1677000,2780000,100ml,40
161,Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Sweet Vanilla Cotton,,304000,338000,100ml,10
162,[HSD 01/2025] Nước Hoa Nữ Marc Jacobs Daisy Intense EDP,Daisy Intense Eau De Parfum,203000,290000,4ml,30
163,[Mini] Nước Hoa Nữ Burberry Her Blossom EDT 1.,,68000,69000,5ml,1
164,Nước Hoa Nữ Lancôme La Vie Est Belle Bản Giới Hạn OUI,La Vie Est Belle Oui L'eau De Parfum D'exception,2239000,2700000,50ml,17
165,Nước Hoa Nữ Chloé Eau De Parfum,,2843000,4290000,75ml,34
166,Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Happy Sundae,,304000,338000,100ml,10
167,[HSD 02/2025] Nước Hoa Nữ Laura Anne Mystic For Her (Xám),Eau de Parfum,156000,156000,50ml,0
168,Nước Hoa Nam Mr.Burberry Indigo EDT,Indigo For Men EDT Spray,1509000,2180000,50ml,31
169,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,44000,79000,35ml,44
170,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,44000,79000,35ml,44
171,Nước Hoa Nam Calvin Klein Free Eau De Toilette,Free EDT Spray,983000,1880000,50ml,48
172,Nước Hoa Nam Versace Eros EDP,Eros Eau De Parfum Natural Spray,1930000,2761000,100ml,30
173,Nước Hoa Nữ Versace Bright Crystal EDT,Bright Crystal Eau De Toilette,1488000,2760000,90ml,46
174,Nước Hoa Nam Gota Bouncy Eau de Parfum,Bouncy Perfume For Men Eau de Parfum,148000,296000,50ml,50
175,Nước Hoa Nữ Salvatore Ferragamo Signorina Ribelle EDP,,1800000,3223000,100ml,44
176,Xịt Thơm Toàn Thân Kiss My Body Adore You,Perfume Mist,168000,169000,88ml,1
177,[HSD 07/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream,Fragrance Mist Hair And Body #Magic Dream,45000,99000,50ml,55
178,Xịt Nước Hoa Hằng Ngày X-Men Hương Tươi Mát,Everyday Perfume Mann Up Air,99000,105000,50ml,6
179,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP,Eau De Parfum,2610000,2900000,50ml,10
