name,brand,pricenew,sale,priceold
Kem Ủ Phục Hồi Tóc Olaplex No.3 Hair Perfector Từ Mỹ,Amazon,"590,000",0%,"590,000"
"TINH DẦU DƯỠNG TÓC MOROCCAN OIL, 100ML",Amazon,"790,000",0%,"790,000"
NƯỚC HOA TOMFORD TOBACCO VANILLE EDP 50ML,sephora,"4,500,000",0%,"4,500,000"
NƯỚC HOA CHANEL GABRIELLE PARIS EDP 100ml,sephora,"2,999,000",0%,"2,999,000"
NƯỚC HOA CHANEL No5 L’EAU EDT 100ml,sephora,"3,200,000",0%,"3,200,000"
NƯỚC HOA CHANEL COCO EDP 50ML,Amazon,"3,200,000",0%,"3,200,000"
MAISON FRANCIS KURKDJIAN ROUGE 540 EDP 70ML,Amazon,"5,900,000",0%,"5,900,000"
NƯỚC HOA BYREDO MOVJAVE GHOST EDP 50ML,Amazon,"3,800,000",0%,"3,800,000"
NƯỚC HOA TOMFORD Ombré Leather Eau De Parfum 50ML,sephora,"2,950,000",0%,"2,950,000"
Set Nước hoa MAISON MARGIELA Replica Memory Box Eau De Toilette Gift,selfirdges,"1,500,000",0%,"1,500,000"
Nước Hoa BYREDO Bal D'afrique Eau De Parfum 50ML,Amazon,"3,800,000",0%,"3,800,000"
Nước hoa Yves Saint Laurent Libre EDP 50ml,sephora,"2,700,000",0%,"2,700,000"
Nước hoa Jo Malone London Nectarine Blossom & Honey cologne 100ml,sephora,"2,500,000",0%,"2,500,000"
Nước hoa Jo Malone London Wood Sage & Sea Salt Cologne 100ml,sephora,"2,500,000",0%,"2,500,000"
Nước hoa nữ Euphoria by CALVIN KLEIN EDP 100ML,sephora,"1,150,000",0%,"1,150,000"
Nước hoa nữ Ck One Shock by CALVIN KLEIN EDT 100ml,Amazon,"690,000",0%,"690,000"
Nước hoa nữ Gucci Guilty EDT 50ml,sephora,"1,750,000",0%,"1,750,000"
Nước hoa nữ Mon Paris by YVES SAINT LAURENT EDT 50ML,sephora,"1,800,000",0%,"1,800,000"
Nước hoa nữ La Vie Est Belle By LANCOME EDP 50ML,sephora,"1,850,000",0%,"1,850,000"
Nước hoa nữ Miss Dior Cherie by CHRISTIAN DIOR EDT 50ML,sephora,"2,100,000",0%,"2,100,000"
Nước hoa nữ Lacoste Pour Femme EDP 90ML,Walmart,"899,000",0%,"899,000"
Nước hoa nữ Her by Burberry EDP 100ml,Jomashop.com,"1,700,000",0%,"1,700,000"
Nước hoa nữ Miss Dior Rose N'Roses BY CHRISTIAN DIOR EDT 100ML,Costco,"2,800,000",0%,"2,800,000"
Nước hoa nữ Divine Decadence by Marc Jacobs EDP 100ml,Walmart,"2,100,000",0%,"2,100,000"
Nước hoa nữ Nomade by Chloe EDT 75ml,Jomashop.com,"1,800,000",0%,"1,800,000"
Nước hoa nữ Eau Des Merveilles Bleue by Hermes EDT 100 ml,Jomashop.com,"2,400,000",0%,"2,400,000"
Nước hoa Unisex Gucci Memoire D'une Odeur EDP 100ml,Amazon,"2,100,000",0%,"2,100,000"
Nước hoa nữ Run Wild By DAVIDOFF EDP 100ml,Walmart,"750,000",0%,"750,000"
Nước hoa nữ Miss Dior Cherie by CHRISTIAN DIOR EDT 100ML (UNBOXING),sephora,"2,350,000",0%,"2,350,000"
Viva La Juicy Perfume 100ml,sephora,"1,169,000",0%,"1,169,000"
Nước hoa Daisy Dream by Marc Jacobs,sephora,"1,610,000",0%,"1,610,000"
Shalimar by Guerlain EDT 90ML,sephora,"1,200,000",0%,"1,200,000"
Nước hoa Twilly d'Hermes  EDP 85ml,sephora,"2,700,000",0%,"2,700,000"
Calvin Klein Sheer Beauty,Walmart,"850,000",0%,"850,000"
Jimmy Choo Perfume EDP 100ml,Amazon,"1,550,000",0%,"1,550,000"
NƯỚC HOA NỮ EAU DE TOILETTE  BVLGARI OMNIA AMETHYSTE 65ML,Walmart,"1,650,000",0%,"1,650,000"
NƯỚC HOA NỮ THE ONE BY DOLCE & GABBANA EDP 75ML,sephora,,0%,
Marc Jacobs Decadence EDP 100ML,sephora,"1,750,000",0%,"1,750,000"
